user_ranking,user_name,game_platform,user_average_ranking,game_title
9,SenshudoTV,iOS,7.7,World of Tanks Blitz
9,SenshudoTV,PC,7.7,Watch Dogs
8,SenshudoTV,PC,7.7,The Vanishing of Ethan Carter
8,SenshudoTV,PC,7.7,Middle-earth: Shadow of Mordor
5,SenshudoTV,PC,7.7,Fenix Rage
7,SenshudoTV,PC,7.7,Sherlock Holmes: Crimes & Punishments
8,SenshudoTV,PC,7.7,Plants vs Zombies: Garden Warfare
9,SenshudoTV,PC,7.7,Gauntlet (2014)
8,SenshudoTV,PlayStation Vita,7.7,Muramasa Rebirth
8,SenshudoTV,3DS,7.7,The Legend of Zelda: Majora's Mask 3D
8,SenshudoTV,PlayStation 4,7.7,Dead or Alive 5: Last Round
8,SenshudoTV,PlayStation 4,7.7,DmC: Devil May Cry Definitive Edition
5,SenshudoTV,PlayStation 4,7.7,Oddworld: Abe's Oddysee - New 'n' Tasty
8,SenshudoTV,PC,7.7,Battlefield Hardline
8,SenshudoTV,PlayStation,7.7,Oddworld: Abe's Oddysee
9,SenshudoTV,PC,7.7,Banished
9,SenshudoTV,PlayStation,7.7,Tomb Raider
9,SenshudoTV,PC,7.7,Cloudbuilt
8,SenshudoTV,Xbox One,7.7,Metal Gear Solid V: Ground Zeroes
7,SenshudoTV,PC,7.7,Daylight
7,SenshudoTV,PC,7.7,Trials Fusion
6,SenshudoTV,PC,7.7,The Elder Scrolls Online
8,SenshudoTV,PC,7.7,Dark Souls II
9,SenshudoTV,PlayStation 4,7.7,Mortal Kombat X
9,SenshudoTV,PC,7.7,Wolfenstein: The New Order
10,SenshudoTV,PC,7.7,The Witcher 3: Wild Hunt
8,SenshudoTV,PlayStation 4,7.7,Ultra Street Fighter IV
9,SenshudoTV,Xbox One,7.7,Neverwinter
8,SenshudoTV,Xbox One,7.7,Ryse: Son of Rome
8,SenshudoTV,PC,7.7,Life is Strange: Episode 3 - Chaos Theory
8,SenshudoTV,Xbox One,7.7,Assassin's Creed IV: Black Flag
8,SenshudoTV,PC,7.7,Castlevania: Lords of Shadow 2
9,SenshudoTV,Nintendo 64,7.7,GoldenEye 007
7,SenshudoTV,Xbox 360,7.7,South Park: The Stick of Truth
8,SenshudoTV,PC,7.7,Theme Hospital
6,SenshudoTV,PC,7.7,Pandemonium!
7,SenshudoTV,PC,7.7,Thief
9,SenshudoTV,PC,7.7,Titanfall
8,SenshudoTV,PlayStation,7.7,Silent Hill
7,Duke_Nukem,PlayStation 3,7.4,L.A. Noire
2,Duke_Nukem,PlayStation 4,7.4,Battlefield Hardline
7,SenshudoTV,PC,7.7,Broken Sword 5: The Serpents' Curse - Part I
7,SenshudoTV,PC,7.7,Broken Sword 5: The Serpents' Curse - Part II
6,SenshudoTV,iOS,7.7,Star Wars: Uprising
7,SenshudoTV,PC,7.7,Tom Clancy's Rainbow Six Siege
9,SenshudoTV,PC,7.7,The Secret World
8,SenshudoTV,PC,7.7,Call of Duty: Ghosts
8,SenshudoTV,PC,7.7,Medal of Honor: Warfighter
9,SenshudoTV,PC,7.7,Shadow Warrior
5,SenshudoTV,PC,7.7,Montague's Mount
7,SenshudoTV,iOS,7.7,FIST OF AWESOME
8,SenshudoTV,PC,7.7,The Stanley Parable
9,SenshudoTV,PC,7.7,FORCED
9,SenshudoTV,PC,7.7,Batman: Arkham Origins
9,SenshudoTV,PC,7.7,Battlefield 4
8,dugazoid,PlayStation 4,7.7,Ultratron
8,SenshudoTV,PC,7.7,Star Wars Battlefront
8,SenshudoTV,PC,7.7,PONCHO
7,dugazoid,PC,7.7,Far Cry 4
9,Duke_Nukem,PlayStation 3,7.4,Call of Duty: World at War
10,Duke_Nukem,PlayStation 2,7.4,Gun
8,SenshudoTV,PC,7.7,Dead Space 3
8,SenshudoTV,PC,7.7,Far Cry 3
9,SenshudoTV,Xbox 360,7.7,DmC: Devil May Cry
8,SenshudoTV,Xbox 360,7.7,WWE '13
9,SenshudoTV,PC,7.7,Europa Universalis IV
8,SenshudoTV,PC,7.7,Outlast
8,SenshudoTV,Xbox 360,7.7,Foul Play
6,SenshudoTV,PC,7.7,Alien Rage
5,SenshudoTV,PC,7.7,Urban Trial Freestyle
9,SenshudoTV,PlayStation 3,7.7,Beyond: Two Souls
10,Duke_Nukem,PlayStation,7.4,Duke Nukem: Land of the Babes
10,Duke_Nukem,PC,7.4,Duke Nukem 3D
10,Duke_Nukem,PlayStation 3,7.4,Red Dead Redemption
9,Duke_Nukem,PlayStation,7.4,Hogs of War
8,K5000i,PlayStation 4,6.8,Middle-earth: Shadow of Mordor
9,K5000i,PlayStation 4,6.8,The Witcher 3: Wild Hunt
7,SenshudoTV,Xbox 360,7.7,Lost Planet 3
8,SenshudoTV,PC,7.7,Tom Clancy's Splinter Cell: Blacklist
9,SenshudoTV,Xbox 360,7.7,Remember Me
7,SenshudoTV,PC,7.7,Metro: Last Light
4,SenshudoTV,PC,7.7,Star Trek The Video Game
9,SenshudoTV,PC,7.7,BioShock Infinite
9,SenshudoTV,PC,7.7,Tom Clancy's The Division
9,SenshudoTV,PlayStation 4,7.7,Uncharted 4: A Thief's End
9,SenshudoTV,Xbox One,7.7,Quantum Break
8,SenshudoTV,PC,7.7,Kathy Rain
9,SenshudoTV,PlayStation 4,7.7,DOOM
8,SenshudoTV,PC,7.7,Mass Effect: Andromeda
9,dugazoid,PC,7.7,INSIDE
7,dugazoid,PlayStation 4,7.7,The Evil Within
6,SenshudoTV,PlayStation 4,7.7,Final Fantasy XV
8,dugazoid,PlayStation 4,7.7,God of War III Remastered
9,dugazoid,PlayStation Vita,7.7,Hotline Miami
4,dugazoid,PlayStation 4,7.7,Assassin's Creed Unity
8,dugazoid,PlayStation Vita,7.7,Stick it to the Man!
7,dugazoid,PlayStation Vita,7.7,MotorStorm RC
8,dugazoid,PC,7.7,Killer Is Dead: Nightmare Edition
5,dugazoid,PlayStation 4,7.7,Deadpool
7,dugazoid,PlayStation 4,7.7,DOOM
10,jozee1981,PlayStation 4,9.1,The Last of Us Remastered
8,jozee1981,PlayStation 4,9.1,LIMBO
6,jozee1981,PlayStation 4,9.1,P.T.
9,jozee1981,PlayStation 4,9.1,The Witcher 3: Wild Hunt
10,jozee1981,PlayStation 4,9.1,Bloodborne
10,jozee1981,PlayStation 4,9.1,Uncharted: The Nathan Drake Collection
9,K5000i,PlayStation 4,6.8,BROFORCE
3,K5000i,PlayStation 4,6.8,The Evil Within
8,K5000i,PlayStation 4,6.8,7 Days to Die
8,K5000i,PlayStation 4,6.8,Mad Max
8,K5000i,PlayStation 4,6.8,Dying Light
6,K5000i,PlayStation 4,6.8,Oddworld: Abe's Oddysee - New 'n' Tasty
7,K5000i,PlayStation 4,6.8,Far Cry 4
6,K5000i,PlayStation 4,6.8,No Man's Sky
8,K5000i,PlayStation 4,6.8,The Deadly Tower of Monsters
9,Duke_Nukem,PlayStation 3,7.4,Mafia II
1,K5000i,PlayStation 4,6.8,Mass Effect: Andromeda
10,Duke_Nukem,PlayStation 4,7.4,Grand Theft Auto V
9,Duke_Nukem,PlayStation 4,7.4,Fallout 4
9,Duke_Nukem,PlayStation 3,7.4,Grand Theft Auto IV: The Ballad of Gay Tony
7,Duke_Nukem,PlayStation 3,7.4,James Bond 007: Blood Stone
8,Duke_Nukem,PlayStation 2,7.4,True Crime: New York City
6,Duke_Nukem,PlayStation 4,7.4,Verdun
8,Duke_Nukem,PlayStation 4,7.4,Dead Rising 2: Off the Record
7,Duke_Nukem,PlayStation 4,7.4,Pure Chess
8,Duke_Nukem,PlayStation 4,7.4,Pure Pool
0,movievet-dotcom,PlayStation 4,6.5,NHL 15
10,movievet-dotcom,PlayStation 4,6.5,Rocksmith 2014 Edition
7,movievet-dotcom,PlayStation 4,6.5,Rock Band 4
10,iamTylerDurden,PlayStation 4,8.4,Knack
8,iamTylerDurden,PlayStation 3,8.4,Need for Speed: The Run
10,iamTylerDurden,PlayStation Vita,8.4,The Sly Collection
10,iamTylerDurden,PlayStation 4,8.4,Pure Pool
10,iamTylerDurden,PlayStation 3,8.4,Spec Ops: The Line
10,iamTylerDurden,PlayStation 4,8.4,Galak-Z: The Dimensional
10,iamTylerDurden,PlayStation 4,8.4,Driveclub Bikes
10,iamTylerDurden,PlayStation 4,8.4,Driveclub
10,iamTylerDurden,PlayStation 4,8.4,Driveclub VR
5,iamTylerDurden,Xbox 360,8.4,Call of Duty: Modern Warfare 3
9,iamTylerDurden,Xbox 360,8.4,Rage
6,iamTylerDurden,Xbox 360,8.4,Call of Duty: Black Ops
9,iamTylerDurden,PC,8.4,Rage
9,iamTylerDurden,PlayStation 3,8.4,Rage
3,iamTylerDurden,Xbox 360,8.4,Too Human
7,iamTylerDurden,Xbox 360,8.4,Bloodforge
8,iamTylerDurden,PlayStation Vita,8.4,Draw Slasher
10,iamTylerDurden,Xbox 360,8.4,The Wolf Among Us: Episode 1 - Faith
10,iamTylerDurden,PlayStation 3,8.4,The Wolf Among Us: Episode 1 - Faith
4,WizardVReaper,PlayStation 4,0.0,Oddworld: Abe's Oddysee - New 'n' Tasty
4,jquincy,PlayStation 3,6.9,Madden NFL 11
10,redmandana,PlayStation 4,6.9,Bloodborne
10,iamTylerDurden,PlayStation 3,8.4,Resistance: Fall of Man
10,iamTylerDurden,PlayStation Vita,8.4,Resistance: Burning Skies
10,iamTylerDurden,Xbox 360,8.4,The Darkness II
7,Rox22,PlayStation 4,7.2,Fallout 4: Far Harbor
8,Rox22,PlayStation 4,7.2,DOOM
8,Rox22,PlayStation 4,7.2,Dungeons 2
5,Rox22,PlayStation 4,7.2,No Man's Sky
8,Rox22,PlayStation 4,7.2,Mortal Kombat X
8,Rox22,PlayStation 4,7.2,Nioh
10,Rox22,PlayStation 4,7.2,Bloodborne: Complete Edition
9,Rox22,PlayStation 4,7.2,XCOM 2
6,Rox22,PlayStation 4,7.2,Mass Effect: Andromeda
7,Rox22,PlayStation 4,7.2,Danganronpa V3: Killing Harmony
9,redmandana,PlayStation 4,6.9,Grand Theft Auto V
10,iamTylerDurden,PlayStation 3,8.4,The Darkness II
9,zanella_marco,Xbox 360,8.1,Tomb Raider
9,zanella_marco,Xbox 360,8.1,Hitman: Absolution
9,zanella_marco,Xbox 360,8.1,Dishonored
7,zanella_marco,Xbox 360,8.1,The Witcher 2: Assassins of Kings
4,Rox22,PlayStation 4,7.2,The Vanishing of Ethan Carter
7,Rox22,PlayStation 4,7.2,Batman: Arkham Knight
6,Rox22,PlayStation 4,7.2,SOMA
8,Rox22,PC,7.2,Quake
9,Rox22,PC,7.2,X-COM: Terror From the Deep
6,Rox22,PC,7.2,Lords of Magic
7,Rox22,PlayStation 4,7.2,Fallout 4
8,Rox22,PlayStation 4,7.2,Day of the Tentacle Remastered
6,Rox22,PlayStation 4,7.2,Senran Kagura: Estival Versus
8,zanella_marco,Xbox 360,8.1,Remember Me
7,Rox22,PlayStation 4,7.2,Party Hard
8,zanella_marco,Xbox 360,8.1,The Walking Dead: 400 Days
8,zanella_marco,Xbox 360,8.1,Anna: Extended Edition
8,zanella_marco,Xbox 360,8.1,Binary Domain
8,zanella_marco,Xbox 360,8.1,Bastion
9,Rox22,PlayStation 4,7.2,The Witcher 3: Wild Hunt
10,iamTylerDurden,PC,8.4,The Darkness II
1,Rox22,PlayStation 4,7.2,Godzilla
7,Rox22,PlayStation 4,7.2,Dragon Age: Inquisition - The Descent
9,Rox22,PC,7.2,The Dig
6,Rox22,PC,7.2,The 11th Hour
5,Rox22,PC,7.2,Ultima VIII: Pagan
5,Rox22,PC,7.2,Bloodnet
7,Rox22,PlayStation 4,7.2,Omega Quintet
8,Rox22,PlayStation Vita,7.2,Danganronpa Another Episode: Ultra Despair Girls
7,Rox22,PlayStation 4,7.2,Dragon Age: Inquisition - Trespasser
6,iamTylerDurden,PlayStation 3,8.4,Call of Duty: Black Ops II
6,iamTylerDurden,Xbox 360,8.4,Call of Duty: Black Ops II
9,zanella_marco,PlayStation 3,8.1,Child of Light
8,zanella_marco,PlayStation 4,8.1,Oddworld: Abe's Oddysee - New 'n' Tasty
8,zanella_marco,PlayStation 3,8.1,Ni no Kuni: Wrath of the White Witch
8,zanella_marco,PlayStation 3,8.1,Puppeteer
7,zanella_marco,PlayStation 3,8.1,rain
8,Rox22,PlayStation 3,7.2,Borderlands: The Pre-Sequel
8,Rox22,PlayStation 4,7.2,Diablo III: Ultimate Evil Edition
9,Rox22,PlayStation 4,7.2,P.T.
7,Rox22,PlayStation 4,7.2,Borderlands: The Handsome Collection
10,Rox22,PlayStation Vita,7.2,Persona 4 Golden
9,Rox22,PlayStation Vita,7.2,Danganronpa: Trigger Happy Havoc
7,Rox22,PlayStation 2,7.2,Haunting Ground
9,Rox22,PlayStation Vita,7.2,Danganronpa 2: Goodbye Despair
