user_ranking,user_name,game_platform,user_average_ranking,game_title
3,Nathan1423,PlayStation 4,7.1,Rain World
9,Rox22,Xbox 360,7.2,Fable II
7,Rox22,Xbox 360,7.2,Fable III
9,Rox22,PC,7.2,Space Quest Collection
1,Rox22,PC,7.2,Master of Orion 3
6,Rox22,Xbox 360,7.2,Metro: Last Light
6,Rox22,Xbox 360,7.2,Deadpool
4,Rox22,Xbox 360,7.2,DARK
7,Rox22,Xbox 360,7.2,Saints Row IV
8,Rox22,PlayStation 2,7.2,Arc the Lad: Twilight of the Spirits
9,Rox22,Xbox 360,7.2,Diablo III
8,Nathan1423,PlayStation 4,7.1,Shiness: The Lightning Kingdom
