user_score,publisher,rating,title,metascore,platform,genre,developer
8.7,EA Mobile,E,Tetris,85,"PSP,iPhone/iPad","Miscellaneous,Puzzle,Puzzle,Puzzle,Stacking,General",EA Mobile
3,SCEA,E,NBA 10 The Inside,69,PSP,"Sports,Traditional,Team,Basketball,Sim,Sim",SCEA San Diego Studios
4.2,EA Sports,E,NBA Live 10,64,"PSP,PlayStation 3,Xbox 360","Sports,Traditional,Team,Basketball,Sim,Sim",EA Canada
6,Namco Bandai Games America,T,Naruto Shippuden: Legends: Akatsuki Rising,60,PSP,"Adventure,General,General",Racjin
7.8,XSEED Games,E10+,Half-Minute Hero,84,PSP,"Role-Playing,General,General",Opus
7.4,Rockstar Games,M,Grand Theft Auto: Chinatown Wars,90,"PSP,iPhone/iPad","Action Adventure,Modern,Modern",Rockstar Leeds
7.9,Electronic Arts,E,FIFA Soccer 10,83,"PSP,iPhone/iPad,PC,PlayStation 2,PlayStation 3,Xbox 360","Sports,Traditional,Team,Soccer,Sim,Sim","EA Sports, HB Studios Multimedia"
6.7,From Software,T,Armored Core 3 Portable,43,PSP,"Simulation,Sci-Fi,Vehicle,Mech,Mech,Combat",From Software
8.8,Deep Silver,T,Mytran Wars,68,PSP,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,General",Stormregion
7.2,Natsume,E10+,Adventures to Go!,58,PSP,"Role-Playing,General,General",Global A
6.8,Frima Studio,T,Zombie Tycoon,68,PSP,"Strategy,Real-Time,Tycoon,Tycoon,Command",Frima Studio
6.9,SCEA,E,LocoRoco Midnight Carnival,73,PSP,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",SCE Japan Studio
4.7,Atari,E10+,Ghostbusters: The Video Game,54,"PSP,PC,PlayStation 2,PlayStation 3,Xbox 360","Action,General,General",Red Fly Studio
8,LucasArts,T,Star Wars Battlefront: Elite Squadron,63,PSP,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",Savage Entertainment
6.7,SCEA,E10+,Jak and Daxter: The Lost Frontier,71,"PSP,PlayStation 2","Action,Action Adventure,Fantasy,General,Platformer,Fantasy,3D",High Impact Games
5,Konami,E,Pro Evolution Soccer 2010,72,"PSP,PC,PlayStation 2,PlayStation 3,Xbox 360","Sports,Traditional,Team,Soccer,Sim,Sim",Konami
7.5,Atlus,T,Kenka Bancho: Badass Rumble,70,PSP,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",Bullets
7.2,Codemasters,E,F1 2009,68,"PSP,iPhone/iPad","Driving,Racing,Simulation,Formula One,Formula One,Automobile",Sumo Digital
7.1,Ubisoft,M,Assassin's Creed: Bloodlines,63,PSP,"Action Adventure,Historic,Historic",Griptonite Games
7.4,Konami,E,Yu-Gi-Oh! 5D's Tag Force 4,70,PSP,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",Konami
7.8,SCEA,E10+,LittleBigPlanet,87,"PSP,PlayStation 3","Action,Platformer,Platformer,3D,2D,3D","SCE/WWS, Media Molecule"
6.8,Halfbrick Studios,E,Halfbrick Echoes,79,PSP,"Action,General,General",Halfbrick Studios
7.4,Halfbrick Studios,E,Blast Off,84,"PSP,iPhone/iPad","Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",Halfbrick Studios
7.2,Cowboy Rodeo,E,Pinball Fantasies,81,"PSP,iPhone/iPad","Action,Miscellaneous,Parlor,Pinball,Pinball",Cowboy Rodeo
5.3,Hands-On Mobile,E,Bloons,68,"PSP,iPhone/iPad","Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action",Bloober Team
6.8,Nemesys,E,Fortix,58,"PSP,PC","Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action",Nemesys
8.2,Namco Bandai Games America,T,Tekken 6,82,"PSP,PlayStation 3,Xbox 360","Action,Fighting,Fighting,3D,3D","Namco Bandai Games America, Namco Bandai Games"
6.3,SCEA,T,Buzz! Quiz World,62,"PSP,PlayStation 3","Miscellaneous,Trivia / Game Show,Trivia / Game Show",Curve Studios
