user_score,rating,title,metascore,platform,genre,developer
7.1,T,Nights of Azure 2: Bride of the New Moon,66,PS4,"Action,General,Role-Playing,Action RPG",Gust
7.2,E,Spintires: Mudrunner,67,PS4,"Simulation,Vehicle,Civilian",Koch Media
7.1,E,Oure,53,PS4,"Action Adventure,General",Heavy Spectrum
4.2,M,Call of Duty: WWII,79,PS4,"Action,Shooter,First-Person,Arcade",Sledgehammer Games
8.0,T,.hack//G.U. Last Recode,76,PS4,"Miscellaneous,Compilation",CyberConnect2
6.0,E,Bubsy: The Woolies Strike Back,45,PS4,"Action,Platformer,2D",Black Forest Games
5.0,T,League of War: VR Arena,46,PS4,"Strategy,Real-Time,General","MunkyFun, Inc."
6.6,E10+,AER: Memories of Old,70,PS4,"Action Adventure,General,Open-World",Daedalic Entertainment
6.7,T,Summon Night 6: Lost Borders,71,PS4,"Role-Playing,Japanese-Style",Media Vision
7.2,E10+,The LEGO NINJAGO Movie Video Game,67,PS4,"Action Adventure,General",TT Games
5.7,T,JYDGE,76,PS4,"Action,Shooter,Shoot-'Em-Up,Top-Down",10tons
7.0,T,Blue Reflection,66,PS4,"Role-Playing,Japanese-Style",Gust
6.6,M,Nioh: Bloodshed's End,85,PS4,"Role-Playing,Action RPG",Team Ninja
6.0,E,Gran Turismo Sport,75,PS4,"Racing,Simulation,Automobile",Polyphony Digital
8.0,T,Horizon Zero Dawn: The Frozen Wilds,83,PS4,"Role-Playing,Action RPG",Guerrilla
7.3,E10+,SteamWorld Dig 2,85,PS4,"Action,Platformer,2D",Image & Form
7.1,T,Warriors All-Stars,70,PS4,"Action,Beat-'Em-Up,3D",Omega Force
4.4,T,Marvel vs. Capcom: Infinite,72,PS4,"Action,Fighting,2D",Capcom
7.6,E,Redout,81,PS4,"Racing,Arcade,Futuristic",505 Games
7.4,M,Resident Evil: Revelations,70,PS4,"Action Adventure,Survival",Capcom
7.3,E,WindJammers,76,PS4,"Sports,Individual,Other",DotEmu
7.8,E,Everybody's Golf,78,PS4,"Traditional,Sports,Individual,Golf,Arcade","SCEI, Clap Hanz"
6.2,T,XCOM 2: War of the Chosen,94,PS4,"Strategy,Turn-Based,Tactics",Firaxis Games
8.6,M,Yakuza Kiwami,80,PS4,"Action Adventure,Open-World",Ryu ga Gotoku Studios
7.2,T,X-Morph: Defense,78,PS4,"Strategy,Real-Time,Defense",EXOR Studios
4.2,T,ARK: Survival Evolved,69,PS4,"Action Adventure,Sandbox",Studio Wildcard
5.9,T,Absolver,69,PS4,"Role-Playing,Action RPG",Sloclap
6.7,T,Rabi-Ribi,80,PS4,"Action,Platformer,2D",CreSpirit
6.5,E10+,The Lost Bear,77,PS4,"Adventure,3D,First-Person",Fabrik Games
7.7,E,Last Day of June,75,PS4,"Adventure,General",Ovosonico
7.7,M,Life is Strange: Before the Storm - Episode 1: Awake,78,PS4,"Action Adventure,General",Deck Nine Games
6.4,T,Songbringer,71,PS4,"Action Adventure,General",Wizard Fu Games
7.4,T,Tooth and Tail,78,PS4,"Strategy,Real-Time,General",Pocketwatch Games
7.4,M,Utawarerumono: Mask of Truth,75,PS4,"Strategy,Turn-Based,General",Aqua Plus
7.5,E10+,Knack 2,69,PS4,"Action Adventure,Linear",SCE Japan Studio
7.0,M,Ken Follett's The Pillars of the Earth,75,PS4,"Adventure,Visual Novel",Kalypso
8.0,M,Life is Strange: Before the Storm,77,PS4,"Action Adventure,General",Deck Nine Games
4.9,T,Destiny 2,85,PS4,"Action,Shooter,First-Person,Arcade",Bungie
5.9,E,NASCAR Heat 2,66,PS4,"Racing,Simulation,Automobile","Monster Games Inc., 704Games"
7.0,M,Senran Kagura: Peach Beach Splash,70,PS4,"Action,Shooter,Third-Person,Arcade",Marvelous Inc.
8.0,M,Shadow Tactics: Blades of the Shogun,85,PS4,"Strategy,Real-Time,Tactics",Mimimi Productions
3.9,E10+,Micro Machines World Series,59,PS4,"Racing,General,Arcade,Automobile","Codemasters, Just Add Water"
6.0,T,Ancient Amuletor,60,PS4,"Adventure,3D,First-Person",TIGAMES
7.7,M,Get Even,71,PS4,"Modern,Action,Shooter,First-Person,Arcade",The Farm 51
6.2,E,The Golf Club 2,76,PS4,"Sports,Individual,Golf,Arcade",Maximum Games
7.2,M,Danganronpa Another Episode: Ultra Despair Girls,67,PS4,"Action Adventure,General",Spike Chunsoft
6.9,T,Final Fantasy XV: Episode Prompto,65,PS4,"Role-Playing,Action RPG",Square Enix
6.2,T,Cryptark,75,PS4,"Action,Shooter,Shoot-'Em-Up,Top-Down",Alientrap
7.3,T,Elite: Dangerous,77,PS4,"Simulation,Space,Civilian",Frontier Developments
1.8,,AereA,46,PS4,"Role-Playing,Action RPG","Triangle Studios, Soedesco"
6.5,M,Arizona Sunshine,63,PS4,"Action,Shooter,First-Person,Arcade",Jaywalkers Interactive
7.2,T,That's You!,70,PS4,"Miscellaneous,Party / Minigame",Wish Studios
6.1,T,Little Nightmares: The Depths,62,PS4,"General,Action Adventure,Linear",Tarsier Studios
5.9,T,Valkyria Revolution,54,PS4,"Strategy,Turn-Based,Tactics",Media Vision
6.3,M,Call of Duty: Infinite Warfare - Absolution,69,PS4,"Action,Shooter,First-Person,Tactical",Infinity Ward
8.7,E10+,Crash Bandicoot N. Sane Trilogy,80,PS4,"Miscellaneous,Compilation",Vicarious Visions
5.9,T,Accel World vs. Sword Art Online: Millennium Twilight,64,PS4,"Role-Playing,Action RPG",Artdink
7.1,M,Serial Cleaner,72,PS4,"Action,Action Adventure,General,Linear","iFun4all, Curve Digital"
2.5,E,MotoGP 17,68,PS4,"Racing,Arcade,Automobile","Koch Media, Milestone S.r.l"
7.3,T,Hunting Simulator,57,PS4,"Sports,Individual,Nature,Hunting",Maximum Games
7.2,T,Black The Fall,66,PS4,"Action,General",Sand Sailor Studio
7.3,T,99Vidas,61,PS4,"Action,Beat-'Em-Up,2D",QUByte Interactive
5.7,T,Children of Zodiarcs,81,PS4,"Role-Playing,Japanese-Style",Cardboard Utopia
3.0,E10+,Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,68,PS4,"Adventure,Point-and-Click",Telltale Games
7.5,T,Final Fantasy XII: The Zodiac Age,86,PS4,"Role-Playing,Japanese-Style",Square Enix
9.1,M,Persona 5,93,PS4,"Role-Playing,Japanese-Style",Atlus
7.3,E10+,LEGO City Undercover,77,PS4,"Action Adventure,Open-World",TT Games
5.2,E,PaRappa the Rapper Remastered,61,PS4,"Action,Rhythm,Music","NanaOn-Sha, Sony Interactive Entertainment"
7.3,E,Blackwood Crossing,71,PS4,"Adventure,General",PaperSeven
7.7,T,The Sexy Brutale,77,PS4,"Adventure,General","Abstraction Games, Tequila Works, Cavalier Game Studios"
7.1,M,Bulletstorm: Full Clip Edition,75,PS4,"Action,Shooter,First-Person,Arcade",People Can Fly
5.9,M,Drawn to Death,56,PS4,"Action,Shooter,Third-Person,Sci-Fi,Arcade",SCEA San Diego Studios
6.5,E,Kero Blaster,79,PS4,"Action,Platformer,Shooter,2D,Shoot-'Em-Up,Vertical",Studio Pixel
7.2,T,Starblood Arena,68,PS4,"Action,General",WhiteMoon Dreams
7.3,T,Cosmic Star Heroine,76,PS4,"Console-style RPG,Console-style RPG,Role-Playing,Japanese-Style",Zeboyd Games
5.6,E10+,Aaero,77,PS4,"Action,Shooter,Rail",Mad Fellows Ltd
5.8,,Rolling Bob,58,PS4,"Action,Platformer,2D",MOONFACTORY SC
6.2,E10+,VR Invaders: Complete Edition,68,PS4,"Action,Shooter,Light Gun",MY.COM
7.2,E10+,Flinthook,76,PS4,"Action,Platformer,2D",Tribute Games
2.5,,Call of Duty: Infinite Warfare - Continuum,75,PS4,"Action,Shooter,First-Person,Tactical",Infinity Ward
7.3,M,Late Shift,59,PS4,"Adventure,General",Wales Interactive Ltd.
6.2,E10+,Yooka-Laylee,68,PS4,"Action,Platformer,3D",Playtonic Games
7.3,E10+,The Disney Afternoon Collection,76,PS4,"Miscellaneous,Compilation",Capcom
6.9,M,The Silver Case,64,PS4,"General,Adventure,Visual Novel",Grasshopper Manufacture
7.2,T,Shiness: The Lightning Kingdom,67,PS4,"Role-Playing,Action RPG",Enigami
7.5,T,Full Throttle Remastered,76,PS4,"Adventure,Point-and-Click",Double Fine Productions
5.6,T,Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue,72,PS4,"Action,Adventure,General,3D,Third-Person",Telltale Games
7.0,M,The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,80,PS4,"Action,General,Adventure,Point-and-Click",Telltale Games
4.2,E10+,De-formers,60,PS4,"Action,Arcade",Ready at Dawn
7.8,E10+,Wonder Boy: The Dragon's Trap,79,PS4,"Action Adventure,General",Lizardcube
7.8,T,Shantae: Half-Genie Hero,81,PS4,"Action,Platformer,Platformer,2D,2D",WayForward
4.8,M,Resident Evil 7: biohazard - Banned Footage Vol. 1,75,PS4,"Action Adventure,Survival",Capcom
5.6,E10+,Mighty Morphin Power Rangers: Mega Battle,49,PS4,"Action,Beat-'Em-Up,2D",Bandai Namco Games
7.5,T,Hatsune Miku: Project Diva Future Tone - Future Sound,84,PS4,"Action,Rhythm,Music",Sega
5.4,T,The Flame in the Flood: Complete Edition,76,PS4,"Action Adventure,General",The Molasses Flood
6.6,M,The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,80,PS4,"Action,Adventure,General,Point-and-Click",Telltale Games
7.8,T,Hatsune Miku: Project Diva Future Tone - Colorful Tone,84,PS4,"Action,Rhythm,Music",Sega
7.3,T,Fate/Extella: The Umbral Star,67,PS4,"Action,Beat-'Em-Up,3D",Marvelous Inc.
3.3,M,2064: Read Only Memories,76,PS4,"General,Adventure,Point-and-Click",MidBoss
6.4,T,The Turing Test,74,PS4,"Action,Shooter,First-Person,Arcade",Bulkhead Interactive
8.0,T,Tales of Berseria,79,PS4,"Japanese-Style,Role-Playing,Action RPG",Bandai Namco Games
8.3,T,Gravity Rush 2,80,PS4,"Action,Platformer,3D",SCE Japan Studio
7.3,E10+,Kingdom Hearts HD 2.8 Final Chapter Prologue,76,PS4,"Miscellaneous,Compilation,Role-Playing,Action RPG",Square Enix
8.8,M,Yakuza 0,85,PS4,"Action Adventure,Open-World",Ryu ga Gotoku Studios
2.2,,Pinball FX 2: Star Wars Pinball - Rogue One,74,PS4,"Action,Pinball",Zen Studios
7.8,M,Resident Evil 7: biohazard,86,PS4,"Action Adventure,Survival",Capcom
5.4,E,Moto Racer 4,49,PS4,"Racing,Arcade,Other",PQube
7.0,M,How to Survive 2,67,PS4,"Action Adventure,Survival",505 Games
5.5,E,Linelight,77,PS4,"Puzzle,Action",My Dog Zorro
1.8,,Call of Duty: Infinite Warfare - Sabotage,76,PS4,"Action,Shooter,First-Person,Tactical",Infinity Ward
6.6,E10+,Double Dragon IV,49,PS4,"Action,Beat-'Em-Up,2D",Arc System Works
7.2,T,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Expansion,70,PS4,"Action,Fighting,3D",CyberConnect2
6.6,T,Dynasty Warriors: Godseekers,70,PS4,"Strategy,Turn-Based,Tactics",Omega Force
8.1,T,Batman: Return to Arkham,73,PS4,"Miscellaneous,Compilation","Rocksteady Studios, Virtuos"
7.3,E10+,LEGO Harry Potter Collection,73,PS4,"Miscellaneous,Compilation",Warner Bros. Interactive Entertainment
6.5,E10+,Digimon World: Next Order,68,PS4,"Role-Playing,Trainer",B.B.Studio
7.4,T,Maldita Castilla EX: Cursed Castilla,73,PS4,"Action,Platformer,2D",Locomalito
6.3,E10+,Wild Guns Reloaded,74,PS4,"Action,Platformer,2D","Natsume, NATSUME ATARI Inc."
7.2,T,Battlezone,66,PS4,"Action,Arcade",Rebellion
7.4,E10+,Headmaster,72,PS4,"Sports,Team,Soccer,Arcade",Frame Interactive
4.3,E,Waddle Home,57,PS4,"Puzzle,Action",Archiact Interactive Ltd.
7.3,T,Hatsune Miku VR: Future Live,61,PS4,"Action,Rhythm,Music","SegaSoft, Sega"
4.8,E10+,Ace Banana,40,PS4,"Action,General",TVR
6.0,T,EVE: Gunjack,60,PS4,"Simulation,Flight,Combat",CCP
6.3,E10+,Keep Talking and Nobody Explodes,88,PS4,"Adventure,3D,First-Person",Steel Crate Games
7.0,T,Loading Human: Chapter 1,53,PS4,"Adventure,3D,First-Person",Untold Games
7.7,M,Until Dawn: Rush of Blood,72,PS4,"Action,Shooter,Rail",SuperMassive Games
7.8,T,RIGS: Mechanized Combat League,78,PS4,"Simulation,Vehicle,Combat",Guerilla Cambridge
6.8,M,Here They Lie,62,PS4,"Adventure,3D,First-Person",The Tangentlemen
6.0,E,SuperHyperCube,74,PS4,"Puzzle,General",KOKOROMI
7.3,E10+,Job Simulator,71,PS4,"Action,General,Simulation,Virtual,Career",Owlchemy Labs
6.7,T,EVE: Valkyrie,71,PS4,"Action,General,Simulation,Space,Combat",CCP
5.0,T,The Assembly,53,PS4,"Miscellaneous,General",nDreams
5.3,E10+,Skylanders Imaginators,79,PS4,"Action,Platformer,3D",Toys for Bob
